http://www.thomasnelson.com.br/livro/7-dias-de-intimidade/,7 dias de intimidade,http://www.thomasnelson.com.br/wp-content/uploads/2013/10/7-dias-de-intimidade-capa_FRENTe-wpcf_240x350.jpg,"Escrito pelo casal de pastores Ed e Lisa Young, da Igreja Felowship, no Texas (EUA), 7 dias de intimidade, se baseia no melhor manual de intimidades já impresso, a Bíblia Sagrada. Colocá-lo em prática pode ser o catalisador necessário para transformar sua vida e melhorar seus relacionamentos em todas as áreas.",Ed e Lisa Young,ISBN: 9788578602949,Número de páginas: 268,"Dimensão: 13,5 x 20,8 cm",Ano de lançamento: 2013
http://www.thomasnelson.com.br/livro/7-oracoes-que-vao-mudar-sua-vida/,7 orações que vão mudar sua vida,http://www.thomasnelson.com.br/wp-content/uploads/2013/01/7oraçoes.jpg,"Um dia, os discípulos de Jesus ficaram boquiabertos com a maneira como ele orava. Um deles ficou tão impressionado que desejou aprender a orar daquela forma. Ele queria orar de modo correto, porque sabia que assim teria uma oração vitoriosa, capaz de resolver questões insolúveis. Se assim como os discípulos, você quer aprender qual a melhor forma de orar e ser ouvido, este livro é perfeito para você. Aqui estão sete modelos bíblicos de oração que funcionam de verdade. Aprenda a orar com Stormie Omartian e descubra os benefícios de uma vida de oração!",Stormie Omartian,ISBN: 9788560303250,Número de páginas: 80,Dimensão: 14 X 21cm,Ano de lançamento: 2008
http://www.thomasnelson.com.br/livro/90-minutos-no-ceu/,90 Minutos no Céu,http://www.thomasnelson.com.br/wp-content/uploads/2013/02/90min.jpg,"Após bater de frente numa carreta, Don Piper foi dado como morto. Noventa minutos depois do acidente, enquanto um pastor orava por ele, voltou milagrosamente à vida na Terra, mas com a lembrança de tudo que vivenciou enquanto esteve no céu.",Don Piper,ISBN: 9788560303953,Número de páginas: 192,Dimensão: 16 X 23cm,Ano de lançamento: 2008
http://www.thomasnelson.com.br/livro/a-beira-do-apocalipse/,À beira do Apocalipse,http://www.thomasnelson.com.br/wp-content/uploads/2013/04/apocalipse-site_interna.jpg,"Joshua Jordan, ex-herói da espionagem nos Estados Unidos, é agora um designer de armas. Sua nova criação é o mais sofisticado sistema de defesa contra mísseis do mundo, a redoma de laser “Retorno ao remetente”.",Tim LaHaye,ISBN: 9788578601393,Número de páginas: 424,Dimensão: 16 X 23cm,Ano de lançamento: 2011
http://www.thomasnelson.com.br/livro/a-arte-de-formar-lideres/,A arte de formar líderes,http://www.thomasnelson.com.br/wp-content/uploads/2013/02/artedeformarlid.jpg,"Neste livro – publicado anteriormente como Desenvolvendo líderes em sua equipe de trabalho - John C. Maxwell procura fornecer tanto inspiração quanto orientação prática para líderes que estão comprometidos em formar outras pessoas capazes de assumir as responsabilidades de um cargo de comando. Ele oferece histórias com humor, testes de avaliação, gráficos e analogias esportivas para transmitir ensinamentos que considera valiosos.",John C. Maxwell,ISBN: 9788578602161,Número de páginas: 240,"Dimensão: 13,5 x 21cm",Ano de lançamento: 2011
http://www.thomasnelson.com.br/livro/a-arte-de-ser-feliz-sem-sair-do-lugar/,A arte de ser feliz sem sair do lugar,http://www.thomasnelson.com.br/wp-content/uploads/2013/01/Aartedeserfeliz.jpg,"A arte de ser feliz sem sair do lugar explica a virtude da paz. Ela funciona como o som das águas correndo diante de nós, contribuindo para amarmos a vida como ela realmente é e para vivermos tranquilos o aqui e o agora.",Maurice Fullard Smith,ISBN: 9788560303601,Número de páginas: 112,Dimensão: 14 X 21cm,Ano de lançamento: 2007
http://www.thomasnelson.com.br/livro/arte-de-superar-problemas/,A arte de superar problemas,http://www.thomasnelson.com.br/wp-content/uploads/2013/01/artedesuperar.jpg,A perda de um emprego. Uma filha que foge de casa. Um cônjugue que morre de câncer. O divórcio de um amigo. Um processo judicial. A lista de problemas que pode nos atingir é infinita. A verdade é que sofrimento é um realidade que não podemos evitar. É por isso que sempre nos perguntamos por que os problemas surgem em nossas vidas e como podemos enfrentá-los. Com a leitura de A arte de superar problemas você vai aprender a lidar com as perdas; Tirar lições das dificuldades diárias; Confortar amigos que estão passando por dificuldades; Redescobrir sua fé; Questionar de forma construtiva o sofrimento; Amadurecer e impactar o mundo.,Charles Stanley,ISBN: 9788560303137,Número de páginas: 216,Dimensão: 14 X 21cm,Ano de lançamento: 2007
http://www.thomasnelson.com.br/livro/a-atitude-vencedora/,A atitude vencedora,http://www.thomasnelson.com.br/wp-content/uploads/2013/02/atitudevenc.jpg,"Em A atitude vencedora, John Maxwell compartilha insights da vida real, mostrando como reconhecer a atitude vencedora e superar as dificuldades da vida, conquistar pessoas e transformar problemas em oportunidades.",John C. Maxwell,ISBN: 9788578600167,Número de páginas: 224,Dimensão: 16 X 23cm,Ano de lançamento: 2009
http://www.thomasnelson.com.br/livro/a-biblia-contada-as-criancas-de-deus/,A Biblia contada as crianças de Deus,http://www.thomasnelson.com.br/wp-content/uploads/2013/02/bibliacrianças.jpg,"O arcebispo Desmond Tutu, Prêmio Nobel da Paz, reconta suas histórias favoritas da Bíblia especialmente para os pequenos. O livro é uma produção mundial, a ser lançado em mais 18 línguas, 11 delas africanas. Ricamente ilustrado por artistas de diversas culturas e etnias e em capa dura, este livro é um presente para crianças e adultos.",Desmond Tutu,ISBN: 9788578600983,Número de páginas: 127,Ano de lançamento: 2010,"
"
http://www.thomasnelson.com.br/livro/a-biblia-da-mulher-de-fe-capa-flores/,A Bíblia da Mulher de Fé – Capa flores,http://www.thomasnelson.com.br/wp-content/uploads/2014/01/BMF_FLORES-FINAL_frente-wpcf_240x375.jpg,"A Bíblia da mulher de fé oferece inspiração e recursos especiais para leitoras em busca de uma comunhão diária com Deus e sua Palavra. Além do texto das Escrituras Sagradas, são 366 devocionais com lições e conselhos valiosos. Seja qual for o seu perfil – jovem, mãe, avó, solteira, casada, dona de casa, empresária –, esta obra foi criada para mulheres como você.",Sheila Walsh,ISBN: 9788578604585,Número de páginas: 1648,"Dimensão: 13,6 x 21,3 cm",Ano de lançamento: 2014
